case_id,activity,resource,timestamp
Case 1,assign seriousness,Value 1,2012-10-09 14:50:17
Case 1,take in charge ticket,Value 1,2012-10-09 14:51:01
Case 1,take in charge ticket,Value 2,2012-10-12 15:02:56
Case 1,resolve ticket,Value 1,2012-10-25 11:54:26
Case 1,closed,Value 3,2012-11-09 12:54:39
Case 10,assign seriousness,Value 2,2010-02-10 08:50:20
Case 10,take in charge ticket,Value 2,2010-03-19 08:47:06
Case 10,resolve ticket,Value 2,2010-03-19 08:47:13
Case 10,closed,Value 5,2010-04-03 07:47:38
Case 100,assign seriousness,Value 1,2013-04-12 10:25:17
Case 100,take in charge ticket,Value 9,2013-04-24 10:24:01
Case 100,require upgrade,Value 9,2013-04-24 15:51:11
Case 100,resolve ticket,Value 2,2013-05-15 13:21:00
Case 100,closed,Value 3,2013-05-30 13:21:20
Case 1000,assign seriousness,Value 2,2010-01-21 08:53:28
Case 1000,assign seriousness,Value 2,2010-01-21 08:53:34
Case 1000,take in charge ticket,Value 2,2010-01-21 08:53:40
Case 1000,resolve ticket,Value 2,2010-01-26 14:06:53
Case 1000,closed,Value 5,2010-03-06 09:00:57
Case 1001,assign seriousness,Value 4,2013-03-08 17:01:24
Case 1001,take in charge ticket,Value 4,2013-03-25 08:08:33
Case 1001,resolve ticket,Value 4,2013-03-28 10:31:21
Case 1001,closed,Value 3,2013-04-12 09:31:36
Case 1002,assign seriousness,Value 19,2010-08-25 10:36:10
Case 1002,take in charge ticket,Value 2,2010-08-27 07:34:45
Case 1002,resolve ticket,Value 2,2010-08-27 08:42:25
Case 1002,closed,Value 5,2010-09-25 10:40:32
Case 1003,assign seriousness,Value 8,2010-12-23 11:23:52
Case 1003,take in charge ticket,Value 2,2011-01-11 07:55:50
Case 1003,resolve ticket,Value 2,2011-01-20 10:59:03
Case 1003,closed,Value 5,2011-02-04 10:59:20
Case 1004,assign seriousness,Value 1,2011-09-21 07:09:20
Case 1004,take in charge ticket,Value 9,2011-09-26 08:52:05
Case 1004,resolve ticket,Value 9,2011-09-27 10:29:02
Case 1004,closed,Value 5,2011-10-22 07:10:49
Case 1005,assign seriousness,Value 8,2010-12-22 08:35:14
Case 1005,take in charge ticket,Value 2,2010-12-22 08:49:10
Case 1005,resolve ticket,Value 2,2011-01-13 14:26:36
Case 1005,closed,Value 5,2011-02-18 08:40:43
Case 1006,assign seriousness,Value 2,2010-01-22 11:09:40
Case 1006,take in charge ticket,Value 2,2010-01-22 11:09:51
Case 1006,resolve ticket,Value 2,2010-01-22 11:09:59
Case 1006,closed,Value 5,2010-03-11 11:10:33
Case 1007,assign seriousness,Value 1,2012-10-10 10:47:41
Case 1007,take in charge ticket,Value 9,2012-10-25 10:23:49
Case 1007,resolve ticket,Value 12,2012-11-12 08:37:18
Case 1007,closed,Value 3,2012-11-27 08:37:28
Case 1008,assign seriousness,Value 4,2011-10-25 14:35:19
Case 1008,take in charge ticket,Value 16,2011-10-26 07:19:46
